Date,m3t
21-Nov-2024 09:45:35,1.6906227
21-Nov-2024 09:50:24,1.5095174
21-Nov-2024 09:55:11,1.7519611
21-Nov-2024 09:59:59,1.6931217
21-Nov-2024 10:04:47,2.0545788
21-Nov-2024 10:09:35,1.6677656
21-Nov-2024 10:14:23,1.6963177
21-Nov-2024 10:19:12,2.5042349
21-Nov-2024 10:23:59,1.969882
21-Nov-2024 10:28:47,1.9899267
21-Nov-2024 10:33:36,1.7261905
21-Nov-2024 10:38:23,2.0123899
21-Nov-2024 10:43:11,1.568888
21-Nov-2024 10:47:59,1.6320716
21-Nov-2024 10:52:47,2.2849451
21-Nov-2024 10:57:35,2.5627473
21-Nov-2024 11:02:23,2.6359746
21-Nov-2024 11:07:11,2.3075381
21-Nov-2024 11:11:59,1.953602
21-Nov-2024 11:16:48,1.7200366
21-Nov-2024 11:21:35,1.5688278
21-Nov-2024 11:26:23,1.4872052
21-Nov-2024 11:31:12,2.2410471
21-Nov-2024 11:35:59,2.5356125
21-Nov-2024 11:40:47,2.2979853
21-Nov-2024 11:45:35,2.0694139
21-Nov-2024 11:50:23,NaN
21-Nov-2024 11:55:11,NaN
21-Nov-2024 12:00:00,1.8030118
21-Nov-2024 12:04:47,1.8677656
21-Nov-2024 12:09:35,1.8326007
21-Nov-2024 12:14:24,1.7797057
21-Nov-2024 12:19:11,1.5083692
21-Nov-2024 12:23:59,1.5059015
21-Nov-2024 12:28:47,1.4877289
21-Nov-2024 12:33:35,1.5404762
21-Nov-2024 12:38:23,1.817441
21-Nov-2024 12:43:11,1.5632072
21-Nov-2024 12:47:59,1.7908018
21-Nov-2024 12:52:47,1.7003663
21-Nov-2024 12:57:36,1.770696
21-Nov-2024 13:02:23,1.5155067
21-Nov-2024 13:07:11,1.6976373
21-Nov-2024 13:12:00,1.6768417
21-Nov-2024 13:16:47,1.924652
21-Nov-2024 13:21:35,2.0758608
21-Nov-2024 13:26:23,1.5857336
21-Nov-2024 13:31:11,1.6185849
21-Nov-2024 13:35:59,1.5262515
21-Nov-2024 13:40:47,1.6022711
21-Nov-2024 13:45:35,1.398315
21-Nov-2024 13:50:23,1.4892726
21-Nov-2024 13:55:12,1.4222559
21-Nov-2024 13:59:59,NaN
21-Nov-2024 14:04:47,NaN
21-Nov-2024 14:09:35,2.1641026
21-Nov-2024 14:14:23,2.3250691
21-Nov-2024 14:19:11,1.8113575
21-Nov-2024 14:23:59,1.8884819
21-Nov-2024 14:28:47,1.7163736
21-Nov-2024 14:33:35,1.5651648
21-Nov-2024 14:38:24,2.2282116
21-Nov-2024 14:43:11,1.92644
21-Nov-2024 14:47:59,2.1978022
21-Nov-2024 14:52:48,2.0400366
21-Nov-2024 14:57:35,2.3670696
21-Nov-2024 15:02:23,2.0860356
21-Nov-2024 15:07:11,2.0008397
21-Nov-2024 15:11:59,2.2100122
21-Nov-2024 15:16:47,2.3354579
21-Nov-2024 15:21:35,1.8361172
21-Nov-2024 15:26:23,1.863145
21-Nov-2024 15:31:11,2.0783069
21-Nov-2024 15:36:00,1.9373219
21-Nov-2024 15:40:47,1.7158242
21-Nov-2024 15:45:35,1.8635165
21-Nov-2024 15:50:24,1.6768845
21-Nov-2024 15:55:11,1.9675599
21-Nov-2024 15:59:59,1.7826618
21-Nov-2024 16:04:47,1.9335165
21-Nov-2024 16:09:35,2.2324176
21-Nov-2024 16:14:23,2.4895829
21-Nov-2024 16:19:12,1.9508429
21-Nov-2024 16:23:59,2.5844526
21-Nov-2024 16:28:47,2.6110623
21-Nov-2024 16:33:36,2.8994139
21-Nov-2024 16:38:23,1.9737035
21-Nov-2024 16:43:11,2.4054495
21-Nov-2024 16:47:59,3.2478632
21-Nov-2024 16:52:47,2.8315018
21-Nov-2024 16:57:35,NaN
21-Nov-2024 17:02:23,NaN
21-Nov-2024 17:07:11,NaN
21-Nov-2024 17:11:59,1.6768417
21-Nov-2024 17:16:48,2.5337729
21-Nov-2024 17:21:35,2.7869597
21-Nov-2024 17:26:23,2.4653685
21-Nov-2024 17:31:12,2.0664396
21-Nov-2024 17:35:59,2.3280423
21-Nov-2024 17:40:47,2.3435531
21-Nov-2024 17:45:35,2.6213553
21-Nov-2024 17:50:23,1.959874
21-Nov-2024 17:55:11,1.6623525
21-Nov-2024 18:00:00,1.4855515
21-Nov-2024 18:04:47,1.8276557
21-Nov-2024 18:09:35,1.8100733
21-Nov-2024 18:14:24,1.6597134
21-Nov-2024 18:19:11,1.6339396
21-Nov-2024 18:23:59,1.7867318
21-Nov-2024 18:28:47,2.6990842
21-Nov-2024 18:33:35,2.646337
21-Nov-2024 18:38:23,2.2351006
21-Nov-2024 18:43:11,2.2488443
21-Nov-2024 18:47:59,2.2629223
21-Nov-2024 18:52:47,2.8547619
21-Nov-2024 18:57:36,3.3294872
21-Nov-2024 19:02:23,2.9630229
21-Nov-2024 19:07:11,3.1481267
21-Nov-2024 19:12:00,2.5396825
21-Nov-2024 19:16:47,2.7714652
21-Nov-2024 19:21:35,1.9310256
21-Nov-2024 19:26:23,2.1717113
21-Nov-2024 19:31:11,2.7086348
21-Nov-2024 19:35:59,2.1164021
21-Nov-2024 19:40:47,1.9032601
21-Nov-2024 19:45:35,1.7590842
21-Nov-2024 19:50:23,2.4394833
21-Nov-2024 19:55:12,2.1932524
21-Nov-2024 19:59:59,2.5803826
21-Nov-2024 20:04:47,3.0938462
21-Nov-2024 20:09:35,2.9602198
21-Nov-2024 20:14:23,2.4647773
21-Nov-2024 20:19:11,2.9978793
21-Nov-2024 20:23:59,2.3361823
21-Nov-2024 20:28:47,2.5315018
21-Nov-2024 20:33:35,2.2150183
21-Nov-2024 20:38:24,2.4091254
21-Nov-2024 20:43:11,2.754613
21-Nov-2024 20:47:59,2.4582825
21-Nov-2024 20:52:48,2.0828571
21-Nov-2024 20:57:35,3.0041758
